analysis_set,template,condition,n,late_attention_clean_mean,late_attention_full_bottleneck_mean,late_attention_candidate_mean,late_attention_gap_recovery,late_attention_gap_recovery_fraction,late_contribution_clean_mean,late_contribution_full_bottleneck_mean,late_contribution_candidate_mean,late_contribution_gap_recovery,late_contribution_gap_recovery_fraction,behavior_recovery_attention_association,behavior_recovery_contribution_association
all_100,direct_fact,early_5_7,100,0.06856461972541486,0.06995521471990893,0.0700761671946384,0.00012095247472946901,-0.08697893722354023,61.5254774459203,55.23530277530352,58.25420763731003,3.0189048620065053,0.4799397504982934,0.0662775056291813,0.09131055848103066
all_100,direct_fact,middle_12_14,100,0.06856461972541486,0.06995521471990893,0.07091431106751164,0.0009590963476027053,-0.6897021428957798,61.5254774459203,55.23530277530352,59.50656780004501,4.27126502474149,0.6790375861410967,0.04508265860309446,0.10131076888669541
all_100,direct_fact,later_middle_19_21,100,0.06856461972541486,0.06995521471990893,0.07220800336295118,0.0022527886430422465,-1.6200177995476404,61.5254774459203,55.23530277530352,58.0878401239713,2.852537348667781,0.45349095979684045,,
all_100,direct_fact,sparse_union,100,0.06856461972541486,0.06995521471990893,0.072761004891557,0.002805790171648065,-2.017690400697059,61.5254774459203,55.23530277530352,62.25147360960643,7.016170834302903,1.1154174886553554,,
all_100,direct_fact,late_negative_30_32,100,0.06856461972541486,0.06995521471990893,0.06986530098753671,-8.991373237222412e-05,0.06465846111069655,61.5254774459203,55.23530277530352,55.19757699052493,-0.03772578477859454,-0.005997573478336384,,
all_100,person_in_list,early_5_7,100,0.053986336840704696,0.03840660984239851,0.04249254266537416,0.00408593282297564,0.26225959051913156,53.8144488231341,37.59423635254304,40.19728134473165,2.6030449921886127,0.1604815594683611,0.054192378264338696,0.07002012104171645
all_100,person_in_list,middle_12_14,100,0.053986336840704696,0.03840660984239851,0.04236833980074153,0.00396172995834301,0.25428750829675795,53.8144488231341,37.59423635254304,39.79210528045893,2.197868927915891,0.13550185806140677,0.060619016579165595,0.07150697379733637
all_100,person_in_list,later_middle_19_21,100,0.053986336840704696,0.03840660984239851,0.04985485774988775,0.011448247907489226,0.7348169777772015,53.8144488231341,37.59423635254304,46.38564899633327,8.791412643790244,0.5420035440183036,-0.11227477955421916,-0.17498298282779737
all_100,person_in_list,sparse_union,100,0.053986336840704696,0.03840660984239851,0.056758110589192556,0.018351500746794046,1.1779090062867725,53.8144488231341,37.59423635254304,51.4003584309419,13.806122078398865,0.8511677700542332,0.277173571151561,0.21907223367087175
all_100,person_in_list,late_negative_30_32,100,0.053986336840704696,0.03840660984239851,0.03837793359416537,-2.8676248233144124e-05,-0.0018406130117852367,53.8144488231341,37.59423635254304,37.57116413344939,-0.023072219093640704,-0.0014224363050405805,0.006680856107013828,-0.00319484175007634
all_100,friend,early_5_7,100,0.055611881027968296,0.04626206393237225,0.05387758987063232,0.00761552593826006,0.8145106861873413,53.393719164729106,34.79778327266375,48.24652160028617,13.448738327622415,0.7232084690806453,0.7849874055885058,0.7110269834408176
