analysis_set,template,contrast_kind,baseline_condition,candidate_condition,n,semantic_rescued,semantic_harmed,semantic_unchanged_correct,semantic_unchanged_incorrect,baseline_semantic_failures,conditional_semantic_rescue_fraction,conditional_semantic_rescue_ci95_low,conditional_semantic_rescue_ci95_high,semantic_mcnemar_exact_p,exact_rescued,exact_harmed,exact_unchanged_correct,exact_unchanged_incorrect,baseline_exact_failures,conditional_exact_rescue_fraction,conditional_exact_rescue_ci95_low,conditional_exact_rescue_ci95_high,exact_mcnemar_exact_p,mean_paired_expected_log_probability_change,paired_expected_log_probability_change_ci95_low,paired_expected_log_probability_change_ci95_high,mean_paired_logit_margin_change,paired_logit_margin_change_ci95_low,paired_logit_margin_change_ci95_high,prespecified_primary,prespecified_late_control_comparison,semantic_holm_adjusted_p,exact_holm_adjusted_p
unseen_confirmatory,person_in_list,versus_full_bottleneck,full_intermediate_bottleneck,later_middle_19_21,86,6,1,36,43,49,0.12244897959183673,0.05734825790240154,0.2424439729375651,0.125,6,1,36,43,49,0.12244897959183673,0.05734825790240154,0.2424439729375651,0.125,0.46435012365149897,0.4102902808894172,0.5184099664135807,1.2674418604651163,1.1735932329929546,1.361290487937278,True,False,,
unseen_confirmatory,person_in_list,versus_full_bottleneck,full_intermediate_bottleneck,sparse_union,86,20,0,37,29,49,0.40816326530612246,0.28215238520386865,0.5475268060815286,1.9073486328125e-06,20,0,37,29,49,0.40816326530612246,0.28215238520386865,0.5475268060815286,1.9073486328125e-06,0.7161268005797337,0.6182836106174376,0.8139699905420297,2.3677325581395348,2.2303167344001356,2.505148381878934,True,False,,
unseen_confirmatory,person_in_list,versus_full_bottleneck,full_intermediate_bottleneck,late_negative_30_32,86,1,0,37,48,49,0.02040816326530612,0.0036116725898252405,0.10693521523391616,1.0,1,0,37,48,49,0.02040816326530612,0.0036116725898252405,0.10693521523391616,1.0,0.04787953665783239,0.03322884223884044,0.06253023107682434,0.07703488372093023,0.045681418391949,0.10838834904991146,False,False,1.0,1.0
unseen_confirmatory,person_in_list,versus_late_negative,late_negative_30_32,early_5_7,86,3,2,36,45,48,0.0625,0.021483232908389285,0.1683543805494635,1.0,3,2,36,45,48,0.0625,0.021483232908389285,0.1683543805494635,1.0,0.1677739705110705,0.14241563034189392,0.1931323106802471,0.3561046511627907,0.2984755592754344,0.41373374305014704,False,True,1.0,1.0
unseen_confirmatory,person_in_list,versus_late_negative,late_negative_30_32,middle_12_14,86,7,0,38,41,48,0.14583333333333334,0.07248249326603709,0.27167176524746284,0.015625,7,0,38,41,48,0.14583333333333334,0.07248249326603709,0.27167176524746284,0.015625,0.19917015696680823,0.1656922863352892,0.23264802759832726,0.5436046511627907,0.47824619402877483,0.6089631082968066,False,True,0.046875,0.046875
unseen_confirmatory,person_in_list,versus_late_negative,late_negative_30_32,later_middle_19_21,86,5,1,37,43,48,0.10416666666666667,0.045321719041813105,0.2216742169438633,0.21875,5,1,37,43,48,0.10416666666666667,0.045321719041813105,0.2216742169438633,0.21875,0.41647058699366657,0.36668451388760215,0.466256660099731,1.190406976744186,1.0972302794240756,1.2835836740642965,False,True,0.4375,0.4375
unseen_confirmatory,person_in_list,versus_late_negative,late_negative_30_32,sparse_union,86,19,0,38,29,48,0.3958333333333333,0.2702082786059137,0.5368959150745274,3.814697265625e-06,19,0,38,29,48,0.3958333333333333,0.2702082786059137,0.5368959150745274,3.814697265625e-06,0.6682472639219013,0.5753675533117042,0.7611269745320983,2.2906976744186047,2.156638018380489,2.4247573304567203,False,True,1.52587890625e-05,1.52587890625e-05
unseen_confirmatory,friend,versus_full_bottleneck,full_intermediate_bottleneck,early_5_7,86,25,0,14,47,72,0.3472222222222222,0.24753423008275116,0.46238696154394426,5.960464477539063e-08,25,0,14,47,72,0.3472222222222222,0.24753423008275116,0.46238696154394426,5.960464477539063e-08,1.15842531153629,0.888318239836091,1.428532383236489,0.9578488372093024,0.6389762596133356,1.276721414805269,True,False,,
unseen_confirmatory,friend,versus_full_bottleneck,full_intermediate_bottleneck,middle_12_14,86,18,0,14,54,72,0.25,0.1643905122547895,0.3609350740434394,7.62939453125e-06,18,0,14,54,72,0.25,0.1643905122547895,0.3609350740434394,7.62939453125e-06,0.8347733060634414,0.6710269075819972,0.9985197045448855,0.9113372093023255,0.7425949171297637,1.0800795014748874,False,False,2.288818359375e-05,2.288818359375e-05
unseen_confirmatory,friend,versus_full_bottleneck,full_intermediate_bottleneck,later_middle_19_21,86,8,0,14,64,72,0.1111111111111111,0.057388196349493464,0.20422938233664037,0.0078125,8,0,14,64,72,0.1111111111111111,0.057388196349493464,0.20422938233664037,0.0078125,0.26887869419053545,0.22146893251954405,0.3162884558615269,0.3023255813953488,0.23623460112346073,0.3684165616672369,False,False,0.015625,0.015625
